surface_family,owner,rerun_modes,change_dimensions,example_count
task_run_pane,Task-run guild,rerun_exactly|rerun_with_current_context,input|runtime,1
test_run_pane,Test-run guild,rerun_exactly|rerun_with_current_context|retry_failed_step_only,input,1
request_run_pane,Request-execution guild,rerun_exactly|rerun_with_current_context,approval_authority|target,1
notebook_execution,Notebook-execution guild,rerun_exactly|rerun_with_current_context,runtime|profile,1
ai_mediated_execution,AI-execution guild,rerun_exactly|rerun_with_current_context|retry_failed_step_only,side_effect_class,1
publish_flow,Publish guild,rerun_exactly,target|side_effect_class,1
preview_flow,Preview guild,rerun_exactly|rerun_with_current_context,target|profile,1
history_activity_center,History / activity-center guild,rerun_exactly|rerun_with_current_context,input,1
support_export_replay,Support / diagnostics guild,rerun_exactly|rerun_with_current_context|retry_failed_step_only,runtime,1
companion_summary,Companion-surface guild,rerun_exactly|rerun_with_current_context|retry_failed_step_only,input,1
