family,status,qualification,canonical_slot,fallback_slot,collapse_ladder,compact_placement,collapse_ladder_state,identity_continuity,critical_action_reach,zoom_contrast_parity,waiver
notebook,green,stable,main_workspace,main_workspace,docked|overflow|placeholder,overflow,identity_stable_ladder,identity_and_state_preserved,all_critical_and_actions_reachable,routes_stable_at_zoom_and_contrast,none
data_grid,green,stable,main_workspace,main_workspace,docked|overflow|placeholder,overflow,identity_stable_ladder,identity_and_state_preserved,all_critical_and_actions_reachable,routes_stable_at_zoom_and_contrast,none
profiler,yellow,stable,bottom_panel,transient_overlay,docked|sheet|overflow|placeholder,sheet,identity_stable_ladder,identity_and_state_preserved,disclosed_overflow_reach,routes_stable_at_zoom_and_contrast,none
pipeline,green,stable,main_workspace,bottom_panel,docked|overflow|placeholder,overflow,identity_stable_ladder,identity_and_state_preserved,all_critical_and_actions_reachable,routes_stable_at_zoom_and_contrast,none
docs,green,stable,main_workspace,transient_overlay,docked|sheet|overflow|placeholder,sheet,identity_stable_ladder,identity_and_state_preserved,all_critical_and_actions_reachable,routes_stable_at_zoom_and_contrast,none
preview,green,stable,right_inspector,transient_overlay,docked|sheet|overflow|placeholder,sheet,identity_stable_ladder,identity_and_state_preserved,all_critical_and_actions_reachable,routes_stable_at_zoom_and_contrast,none
review,green,stable,main_workspace,right_inspector,docked|overflow|placeholder,overflow,identity_stable_ladder,identity_and_state_preserved,all_critical_and_actions_reachable,routes_stable_at_zoom_and_contrast,none
incident,yellow,beta,main_workspace,right_inspector,docked|overflow|placeholder,overflow,identity_stable_ladder,identity_and_state_preserved,all_critical_and_actions_reachable,routes_stable_at_zoom_and_contrast,none
companion,yellow,beta,right_inspector,transient_overlay,sheet|overflow|placeholder,overflow,identity_stable_ladder,disclosed_state_rehydration,all_critical_and_actions_reachable,routes_stable_at_zoom_and_contrast,waiver:companion-sheet-rehydration:0001
operator,yellow,beta,bottom_panel,transient_overlay,docked|sheet|overflow|placeholder,sheet,identity_stable_ladder,identity_and_state_preserved,all_critical_and_actions_reachable,disclosed_zoom_narrowing,none
