component,id,action,state,derived,preserved_or_recovered,deep_link_kind
restart_consequence_card,restart-kernel-state-lost,restart_kernel,state_lost,live_state_lost_impact,false,kernel_manager
restart_consequence_card,restart-run-all-variables-cleared,restart_and_run_all,variables_cleared,variables_cleared_impact,false,notebook_location
restart_consequence_card,interrupt-kernel-state-preserved,interrupt_kernel,state_preserved,state_preserved_impact,true,kernel_manager
restart_consequence_card,shutdown-kernel-outputs-retained,shutdown_kernel,outputs_retained,outputs_retained_impact,true,support_bundle
restart_consequence_card,reconnect-kernel-outputs-cleared,reconnect_kernel,outputs_cleared,outputs_cleared_impact,false,kernel_manager
restart_consequence_card,clear-outputs-no-consequence,clear_outputs,no_consequence,no_restart_impact,true,docs_anchor
kernel_recovery_card,reconnect-recovered,reconnect,recovered,recovered_clean,true,kernel_manager
kernel_recovery_card,reattach-reconnect-available,reattach_session,reconnect_available,reconnect_offered,false,kernel_manager
kernel_recovery_card,restart-clean-restart-required,restart_clean,restart_required,restart_needed,false,kernel_manager
kernel_recovery_card,choose-another-no-kernel,choose_another_kernel,no_kernel_available,no_kernel_available,false,kernel_manager
kernel_recovery_card,local-fallback-recovery-blocked,start_local_fallback,recovery_blocked,recovery_blocked,false,support_bundle
kernel_recovery_card,wait-managed-recoverable,wait_for_managed,recoverable,recoverable_now,false,docs_anchor
