object_family,status,provenance_labeling,lineage_breadcrumb,not_resumed_disclosure,capture_parity,headless_parity,provenance_classes,lineage_facets,evaluated_surfaces,waiver
workspace,green,provenance_class_labeled_on_every_surface,source_actor_boundary_checkpoint_preserved,not_resumed_actions_explicit,breadcrumbs_captured_in_export_and_screenshot,true,4,4,7,none
extension,green,provenance_class_labeled_on_every_surface,source_actor_boundary_checkpoint_preserved,not_resumed_actions_explicit,breadcrumbs_captured_in_export_and_screenshot,true,4,4,7,none
remote_session,green,provenance_class_labeled_on_every_surface,source_actor_boundary_checkpoint_preserved,not_resumed_actions_explicit,breadcrumbs_captured_in_export_and_screenshot,true,4,4,7,none
collaboration_session,yellow,provenance_class_labeled_on_every_surface,source_actor_boundary_checkpoint_preserved,disclosed_grouped_not_resumed_summary,breadcrumbs_captured_in_export_and_screenshot,true,4,4,6,waiver:collaboration-grouped-not-resumed:0001
ai_action,green,provenance_class_labeled_on_every_surface,source_actor_boundary_checkpoint_preserved,not_resumed_actions_explicit,breadcrumbs_captured_in_export_and_screenshot,true,4,4,6,none
update_rollback,green,provenance_class_labeled_on_every_surface,source_actor_boundary_checkpoint_preserved,not_resumed_actions_explicit,breadcrumbs_captured_in_export_and_screenshot,true,4,4,8,none
notebook_runtime,green,provenance_class_labeled_on_every_surface,source_actor_boundary_checkpoint_preserved,not_resumed_actions_explicit,breadcrumbs_captured_in_export_and_screenshot,true,4,4,7,none
request_api_run,green,provenance_class_labeled_on_every_surface,source_actor_boundary_checkpoint_preserved,not_resumed_actions_explicit,breadcrumbs_captured_in_export_and_screenshot,true,4,4,7,none
preview_session,yellow,provenance_class_labeled_on_every_surface,disclosed_partial_lineage_breadcrumb,not_resumed_actions_explicit,breadcrumbs_captured_in_export_and_screenshot,true,4,4,6,none
pipeline_run,green,provenance_class_labeled_on_every_surface,source_actor_boundary_checkpoint_preserved,not_resumed_actions_explicit,breadcrumbs_captured_in_export_and_screenshot,true,4,4,6,none
data_session,green,provenance_class_labeled_on_every_surface,source_actor_boundary_checkpoint_preserved,not_resumed_actions_explicit,breadcrumbs_captured_in_export_and_screenshot,true,4,4,7,none
profiler_capture,yellow,provenance_class_labeled_on_every_surface,source_actor_boundary_checkpoint_preserved,not_resumed_actions_explicit,disclosed_partial_capture,true,4,4,6,none
companion_session,yellow,disclosed_coarse_provenance_grouping,source_actor_boundary_checkpoint_preserved,not_resumed_actions_explicit,breadcrumbs_captured_in_export_and_screenshot,true,4,4,6,none
