control,id,kind,scope_or_state,derived,secondary,flag
rotation_revoke_event_row,event-rotated-active,oauth_token,active_current,still_active,rotation_due,true
rotation_revoke_event_row,event-refresh-needed,api_key,refresh_needed,action_required,active_current,true
rotation_revoke_event_row,event-rotation-due,personal_access_token,rotation_due,action_required,active_current,true
rotation_revoke_event_row,event-revoked,ssh_or_signing_key,revoked,no_longer_usable,active_current,false
rotation_revoke_event_row,event-expired,client_certificate,expired,no_longer_usable,refresh_needed,false
rotation_revoke_event_row,event-superseded,device_code_grant,superseded,superseded,active_current,false
export_safety_banner,banner-profile,raw_secret_excluded,profile,raw_excluded_labels_preserved,handle_only,true
export_safety_banner,banner-support-bundle,metadata_only,support_bundle,raw_excluded_labels_preserved,masked_last_four,true
export_safety_banner,banner-handoff-packet,handle_reference_only,handoff_packet,handle_reference_only,never_revealed,true
export_safety_banner,banner-recipe,redacted_share,recipe,redacted_or_masked,clipboard_scoped,true
export_safety_banner,banner-portable-workspace,endpoints_masked,portable_workspace,redacted_or_masked,policy_blocked_reveal,true
export_safety_banner,banner-audit-log,export_blocked,audit_log,fully_blocked,reveal_on_demand,false
