component,id,evidence_class,secondary,certainty_posture,exact_from_source,proving_source_kind
route_endpoint_row,route-users-index,exact_from_source,authored,exact_from_source,true,source_file
route_endpoint_row,route-app-shell,runtime_confirmed,framework_provided,runtime_confirmed,false,runtime_trace
route_endpoint_row,route-rpc-sync,heuristic_convention,generated,heuristic,false,source_symbol
route_endpoint_row,route-ws-events,derived_by_convention,generated_then_edited,heuristic,false,docs_anchor
route_endpoint_row,route-runtime-probe,partial_evidence,runtime_only,partial_or_unresolved,false,no_proving_source
route_endpoint_row,route-unknown,unresolved,unknown_origin,partial_or_unresolved,false,no_proving_source
component_service_tree_node,node-cart-view,exact_from_source,component_node,exact_from_source,true,source_file
component_service_tree_node,node-payments-service,runtime_confirmed,service_node,runtime_confirmed,false,runtime_trace
component_service_tree_node,node-auth-module,heuristic_inferred,module_node,heuristic,false,source_symbol
component_service_tree_node,node-edge-di,derived_by_convention,dependency_edge,heuristic,false,docs_anchor
component_service_tree_node,node-external-billing,partial_evidence,external_boundary,partial_or_unresolved,false,source_file
component_service_tree_node,node-unknown,unresolved,unknown_node,partial_or_unresolved,false,no_proving_source
