component,id,state,axis_or_reason,derived,safe_flag,deep_link_kind
run_comparison_table,rc-metric-001,comparable,metric_delta,fair_baseline,true,run_object
run_comparison_table,rc-param-002,comparable_with_caveats,param_diff,caveated_baseline,false,notebook_location
run_comparison_table,rc-dataset-003,not_comparable,dataset_diff,unfair_baseline,false,dataset_catalog_anchor
run_comparison_table,rc-env-004,confounded,env_diff,unfair_baseline,false,run_object
run_comparison_table,rc-code-005,insufficient_overlap,code_revision_diff,unproven_baseline,false,docs_anchor
run_comparison_table,rc-artifact-006,unknown_comparability,artifact_diff,unproven_baseline,false,no_deep_link
compare_guard_banner,cg-permitted-001,comparison_permitted,dataset_mismatch,comparable_permitted,true,run_object
compare_guard_banner,cg-caveated-002,comparison_caveated,environment_drift,partially_comparable,false,notebook_location
compare_guard_banner,cg-acknowledged-003,guard_acknowledged,code_revision_gap,partially_comparable,false,run_object
compare_guard_banner,cg-overridden-004,guard_overridden_by_choice,metric_definition_change,overridden_comparison,false,docs_anchor
compare_guard_banner,cg-blocked-005,comparison_blocked,sample_size_imbalance,not_comparable_blocked,false,dataset_catalog_anchor
compare_guard_banner,cg-unavailable-006,guard_unavailable,confounder_present,guard_unavailable,false,no_deep_link
