row_id,surface,claimed_claim,certified_claim,status,narrowed_axes,binding_axis
cert:terminal,terminal,live,live,green,0,none
cert:notebook-console,notebook_console,live,live,green,0,none
cert:request-console,request_console,ready,ready,green,0,none
cert:preview-server,preview_server,ready,ready,green,0,none
cert:run-test,run_test,ready,ready,green,0,none
cert:export,export,restored,restored,green,0,none
cert:debug,debug,live,degraded,yellow,1,degraded_state
cert:collaboration,collaboration,live,reconnecting,yellow,1,degraded_state
cert:doctor,doctor,ready,policy_blocked,yellow,1,degraded_state
cert:support,support,ready,restored,yellow,1,restore_no_rerun
