component,id,frozen_state,secondary_state,derived,blocking_or_current,deep_link_kind
scaffold_preflight_card,preflight-tooling,tooling_present,passed,clear,false,template_manifest
scaffold_preflight_card,preflight-dependencies,dependency_availability,warning,advisory,false,starter_registry_entry
scaffold_preflight_card,preflight-network,network_access,blocked,blocked_prerequisite,true,policy_reference
scaffold_preflight_card,preflight-workspace,workspace_writable,skipped_optional,optional_skipped,false,docs_anchor
scaffold_preflight_card,preflight-host-boundary,host_boundary,not_run,needs_attention,false,docs_anchor
scaffold_preflight_card,preflight-credentials,credential_scope,unknown,needs_attention,false,policy_reference
template_health_row,health-build,build_health,fresh,current,true,docs_anchor
template_health_row,health-dependencies,dependency_freshness,aging,aging,false,starter_registry_entry
template_health_row,health-security,security_advisories,stale,stale_or_expired,false,docs_anchor
template_health_row,health-tests,test_status,expired,stale_or_expired,false,docs_anchor
template_health_row,health-maintenance,maintenance_cadence,never_checked,never_checked,false,docs_anchor
template_health_row,health-compatibility,compatibility,unavailable,unavailable,false,docs_anchor
