component,id,frozen_state,secondary_state,derived,portable_or_first_party,deep_link_kind
scaffold_template_card,tmpl-react-spa,first_party_starter,officially_supported,first_party_template,true,template_manifest
scaffold_template_card,tmpl-internal-service,team_managed_starter,community_supported,team_managed_template,true,starter_registry_entry
scaffold_template_card,tmpl-community-cli,community_starter,experimental,community_template,false,starter_registry_entry
scaffold_template_card,tmpl-local-notebook,local_only_starter,bridge_behavior,local_template,false,docs_anchor
scaffold_template_card,tmpl-mirrored-legacy,mirrored_starter,deprecated,local_template,false,docs_anchor
scaffold_template_card,tmpl-unknown-source,unknown_source_starter,unsupported,source_unknown,false,no_deep_link
starter_parameter_row,param-app-name,template_default,deferred_after_create,portable_template_value,true,template_manifest
starter_parameter_row,param-port,user_input,applied_immediately,portable_user_value,true,template_manifest
starter_parameter_row,param-registry-url,workspace_value,requires_confirmation,workspace_scoped_value,false,policy_reference
starter_parameter_row,param-license,policy_value,optional_skippable,policy_managed_value,false,policy_reference
starter_parameter_row,param-api-token,secret_reference,not_applicable,secret_reference_not_persisted,false,policy_reference
starter_parameter_row,param-owner-email,user_input,blocked_invalid,portable_user_value,true,docs_anchor
