control,id,actor_or_type,reveal_or_export,state,derived,handle_only_or_secure
secret_access_prompt_sheet,prompt-first-party-handle-only,first_party_feature,handle_only,oauth_token,handle_only_available,true
secret_access_prompt_sheet,prompt-provider-raw-reveal,provider_connector,reveal_on_demand,personal_access_token,raw_reveal_requested,false
secret_access_prompt_sheet,prompt-registry-scoped,registry_client,masked_last_four,api_key,scoped_reveal_only,false
secret_access_prompt_sheet,prompt-remote-blocked,remote_or_database_attach,policy_blocked_reveal,client_certificate,reveal_policy_blocked,false
secret_access_prompt_sheet,prompt-release-handle-only,release_publisher,never_revealed,ssh_or_signing_key,handle_only_available,true
secret_access_prompt_sheet,prompt-delegated-scoped,delegated_agent,clipboard_scoped,device_code_grant,scoped_reveal_only,false
credential_store_capability_row,store-hardware-attested,os_keychain,handle_reference_only,hardware_attested,securely_stored,true
credential_store_capability_row,store-os-verified,os_keychain,raw_secret_excluded,os_verified,securely_stored,true
credential_store_capability_row,store-encrypted-session,encrypted_vault,metadata_only,encrypted_verified,limited_assurance,false
credential_store_capability_row,store-unverified,external_reference,redacted_share,unverified,unverified_store,false
credential_store_capability_row,store-verification-failed,encrypted_vault,endpoints_masked,verification_failed,unverified_store,false
credential_store_capability_row,store-unsupported,no_secret_stored,export_blocked,unsupported,unsupported_store,false
