family,consumer,representation,settings_governance_role_word,parity_state
resolve_setting,settings_resolver,desktop_full,effective_resolution,facets_preserved
resolve_setting,shell_ui,desktop_full,effective_resolution,facets_preserved
resolve_setting,cli_export,exported_redacted,effective_resolution,facets_disclosed_narrowed
write_setting,policy_service,desktop_full,write_intent,facets_preserved
write_setting,shell_ui,desktop_full,write_intent,facets_preserved
write_setting,support_export,exported_redacted,write_intent,facets_disclosed_narrowed
sync_scope,sync_service,desktop_full,sync_conflict,facets_preserved
sync_scope,diagnostics,desktop_full,sync_conflict,facets_preserved
sync_scope,docs_help,remote_projected,sync_conflict,facets_disclosed_narrowed
migrate_schema,capability_service,remote_projected,schema_migration,facets_disclosed_narrowed
migrate_schema,diagnostics,desktop_full,schema_migration,facets_preserved
migrate_schema,sync_service,desktop_full,schema_migration,facets_preserved
rollout_capability,docs_help,desktop_full,capability_lifecycle,facets_preserved
rollout_capability,capability_service,compact_narrowed,capability_lifecycle,facets_disclosed_narrowed
rollout_capability,support_export,exported_redacted,capability_lifecycle,facets_disclosed_narrowed
