family,qualification,owner,canonical_slot,fallback_slot,placeholder_behavior,window_classes,occupant_persistence,fallback_placements,evidence_requirement,downgrade_triggers,rollback_posture,consumer_surfaces
notebook,stable,Notebook surface owner,main_workspace,main_workspace,in_slot_identity_preserved,primary_workspace_window|secondary_detached_window,side_by_side|tabbed,docked|overflow|placeholder,required,collapse_changed_task_identity|workspace_truth_diverged_across_windows|policy_blocked|proof_stale,collapse_preserves_task_identity,shell_frame|windowing|layout|docs_help|release_proof|product_ui
data_grid,stable,Data surface owner,main_workspace,main_workspace,reconnect_remote_or_provider,primary_workspace_window|secondary_detached_window,side_by_side|tabbed,docked|overflow|placeholder,required,workspace_truth_diverged_across_windows|placeholder_lost_identity_or_reopen|policy_blocked|proof_stale,window_preserves_workspace_global_truth,shell_frame|windowing|layout|docs_help|release_proof|product_ui
profiler,stable,Profiler surface owner,bottom_panel,transient_overlay,reconnect_remote_or_provider,primary_workspace_window|secondary_detached_window|floating_utility_window,tabbed|sheeted|overflowed,docked|sheet|overflow|placeholder,required,critical_state_hidden_on_collapse|placeholder_lost_identity_or_reopen|policy_blocked|proof_stale,critical_state_stays_visible_or_overflowed,shell_frame|windowing|layout|docs_help|release_proof|product_ui
pipeline,stable,Pipeline surface owner,main_workspace,bottom_panel,reconnect_remote_or_provider,primary_workspace_window|secondary_detached_window,side_by_side|tabbed,docked|overflow|placeholder,required,collapse_changed_task_identity|workspace_truth_diverged_across_windows|policy_blocked|proof_stale,attaches_only_to_declared_slot,shell_frame|windowing|layout|docs_help|release_proof|product_ui
docs,stable,Docs surface owner,main_workspace,transient_overlay,in_slot_identity_preserved,primary_workspace_window|secondary_detached_window|floating_utility_window,side_by_side|tabbed|sheeted,docked|sheet|overflow|placeholder,required,slot_undeclared|collapse_changed_task_identity|policy_blocked|proof_stale,collapse_preserves_task_identity,shell_frame|layout|docs_help|release_proof|support_export|product_ui
preview,stable,Preview surface owner,right_inspector,transient_overlay,in_slot_identity_preserved,primary_workspace_window|floating_utility_window|companion_overlay_window,side_by_side|sheeted|overflowed,docked|sheet|overflow|placeholder,required,critical_state_hidden_on_collapse|owning_window_routing_lost|policy_blocked|proof_stale,routes_to_owning_window_object,shell_frame|layout|attention_router|docs_help|release_proof|product_ui
review,stable,Review surface owner,main_workspace,right_inspector,reconnect_remote_or_provider,primary_workspace_window|secondary_detached_window,side_by_side|tabbed,docked|overflow|placeholder,required,owning_window_routing_lost|workspace_truth_diverged_across_windows|policy_blocked|proof_stale,routes_to_owning_window_object,shell_frame|windowing|attention_router|notification_envelope|docs_help|release_proof|product_ui
incident,beta,Incident surface owner,main_workspace,right_inspector,reconnect_remote_or_provider,primary_workspace_window|secondary_detached_window,side_by_side|tabbed,docked|overflow|placeholder,required,owning_window_routing_lost|secondary_display_topology_drift|policy_blocked|proof_stale,routes_to_owning_window_object,shell_frame|windowing|attention_router|notification_envelope|docs_help|release_proof|product_ui
companion,beta,Companion surface owner,right_inspector,transient_overlay,install_or_enable_dependency,primary_workspace_window|companion_overlay_window|floating_utility_window,sheeted|overflowed|solo_docked,sheet|overflow|placeholder,required,slot_undeclared|owning_window_routing_lost|policy_blocked|proof_stale,attaches_only_to_declared_slot,shell_frame|layout|attention_router|notification_envelope|docs_help|release_proof|product_ui
operator,beta,Operator surface owner,bottom_panel,transient_overlay,recentered_on_topology_drift,primary_workspace_window|secondary_detached_window|floating_utility_window,tabbed|sheeted|overflowed,docked|sheet|overflow|placeholder,required,secondary_display_topology_drift|workspace_truth_diverged_across_windows|policy_blocked|proof_stale,window_preserves_workspace_global_truth,shell_frame|windowing|layout|status_bar|docs_help|release_proof|product_ui
