family,consumer,representation,geometry_role_word,parity_state
shell_metric,shell_ui,desktop_full,metric,facets_preserved
shell_metric,editor_ui,desktop_full,metric,facets_preserved
shell_metric,support_export,exported_redacted,metric,facets_disclosed_narrowed
minimum_size,editor_ui,desktop_full,hit_target,facets_preserved
minimum_size,review_ui,desktop_full,hit_target,facets_preserved
minimum_size,cli_export,exported_redacted,hit_target,facets_disclosed_narrowed
density_mode,shell_ui,desktop_full,density,facets_preserved
density_mode,notebook_ui,desktop_full,density,facets_preserved
density_mode,data_ui,compact_narrowed,density,facets_disclosed_narrowed
responsive_geometry,shell_ui,desktop_full,responsive,facets_preserved
responsive_geometry,data_ui,desktop_full,responsive,facets_preserved
responsive_geometry,product_ui,remote_projected,responsive,facets_disclosed_narrowed
collapse_priority,shell_ui,desktop_full,collapse,facets_preserved
collapse_priority,settings_ui,desktop_full,collapse,facets_preserved
collapse_priority,review_ui,desktop_full,collapse,facets_preserved
