family,status,qualification,canonical_slot,fallback_slot,occupied_slot,registered_slots,slot_attachment,occupant_availability,route_resolution,resolved_route_channels,waiver
notebook,green,stable,main_workspace,main_workspace,main_workspace,main_workspace,attached_to_declared_slot,occupant_available,all_routes_resolve_to_slot_occupant,command|keyboard|docs|onboarding,none
data_grid,yellow,stable,main_workspace,main_workspace,main_workspace,main_workspace,attached_to_declared_slot,dependency_missing_placeholder,all_routes_resolve_to_slot_occupant,command|keyboard|docs|onboarding,none
profiler,green,stable,bottom_panel,transient_overlay,bottom_panel,bottom_panel|transient_overlay,attached_to_declared_slot,occupant_available,all_routes_resolve_to_slot_occupant,command|keyboard|docs|onboarding,none
pipeline,green,stable,main_workspace,bottom_panel,main_workspace,main_workspace|bottom_panel,attached_to_declared_slot,occupant_available,all_routes_resolve_to_slot_occupant,command|keyboard|docs|onboarding,none
docs,green,stable,main_workspace,transient_overlay,main_workspace,main_workspace|transient_overlay,attached_to_declared_slot,occupant_available,all_routes_resolve_to_slot_occupant,command|keyboard|docs|onboarding,none
preview,green,stable,right_inspector,transient_overlay,right_inspector,right_inspector|transient_overlay,attached_to_declared_slot,occupant_available,all_routes_resolve_to_slot_occupant,command|keyboard|docs|onboarding,none
review,green,stable,main_workspace,right_inspector,main_workspace,main_workspace|right_inspector,attached_to_declared_slot,occupant_available,all_routes_resolve_to_slot_occupant,command|keyboard|docs|onboarding,none
incident,yellow,beta,main_workspace,right_inspector,right_inspector,main_workspace|right_inspector,attached_to_declared_slot,occupant_available,all_routes_resolve_to_slot_occupant,command|keyboard|docs|onboarding,none
companion,yellow,beta,right_inspector,transient_overlay,right_inspector,right_inspector|transient_overlay,attached_to_declared_slot,occupant_available,disclosed_route_fallback,command|keyboard|docs,waiver:companion-onboarding-route-sync:0001
operator,yellow,beta,bottom_panel,transient_overlay,bottom_panel,bottom_panel|transient_overlay,attached_to_declared_slot,policy_blocked_placeholder,all_routes_resolve_to_slot_occupant,command|keyboard|docs|onboarding,none
