primitive_family,truth_pillar,status,qualification,primitive_truth,representation_freshness,interaction_reach,exported_proof_parity,never_hover_spinner_or_pointer_only,profiles,waiver
status_bar_item,ambient_instrumentation,green,stable,primitive_truth_certified_and_current,source_freshness_representation_preserved,keyboard_touch_reach_and_resize_certified,exported_surfaces_reflect_current_proof,true,standard|compact|expanded|multi_window|high_zoom|high_contrast|reduced_motion,none
status_overflow_menu,ambient_instrumentation,green,stable,primitive_truth_certified_and_current,source_freshness_representation_preserved,keyboard_touch_reach_and_resize_certified,exported_surfaces_reflect_current_proof,true,standard|compact|expanded|multi_window|high_zoom|high_contrast|reduced_motion,none
tooltip,transient_inspect,green,stable,primitive_truth_certified_and_current,source_freshness_representation_preserved,keyboard_touch_reach_and_resize_certified,exported_surfaces_reflect_current_proof,true,standard|compact|expanded|multi_window|high_zoom|high_contrast|reduced_motion,none
hovercard,transient_inspect,yellow,stable,primitive_truth_certified_and_current,source_freshness_representation_preserved,keyboard_touch_reach_and_resize_certified,disclosed_partial_export_refresh,true,standard|compact|expanded|multi_window|high_zoom|high_contrast|reduced_motion,none
peek_panel,transient_inspect,green,stable,primitive_truth_certified_and_current,source_freshness_representation_preserved,keyboard_touch_reach_and_resize_certified,exported_surfaces_reflect_current_proof,true,standard|compact|expanded|multi_window|high_zoom|high_contrast|reduced_motion,none
pinned_preview_promotion,transient_inspect,yellow,stable,primitive_truth_certified_and_current,disclosed_partial_representation,keyboard_touch_reach_and_resize_certified,exported_surfaces_reflect_current_proof,true,standard|compact|expanded|multi_window|high_zoom|high_contrast|reduced_motion,none
splitter_handle,pane_control,green,stable,primitive_truth_certified_and_current,source_freshness_representation_preserved,keyboard_touch_reach_and_resize_certified,exported_surfaces_reflect_current_proof,true,standard|compact|expanded|multi_window|high_zoom|high_contrast|reduced_motion,none
pane_resize_preset,pane_control,yellow,stable,primitive_truth_certified_and_current,source_freshness_representation_preserved,disclosed_reduced_reach_or_resize,exported_surfaces_reflect_current_proof,true,standard|compact|expanded|multi_window|high_zoom|high_contrast|reduced_motion,waiver:pane-resize-reduced-reach:0001
progress_indicator,durable_progress,yellow,stable,disclosed_reduced_truth_scope,source_freshness_representation_preserved,keyboard_touch_reach_and_resize_certified,exported_surfaces_reflect_current_proof,true,standard|compact|expanded|multi_window|high_zoom|high_contrast|reduced_motion,none
durable_job_row,durable_progress,green,stable,primitive_truth_certified_and_current,source_freshness_representation_preserved,keyboard_touch_reach_and_resize_certified,exported_surfaces_reflect_current_proof,true,standard|compact|expanded|multi_window|high_zoom|high_contrast|reduced_motion,none
