primitive_family,qualification,owner,shell_zone_slot,responsive_classes,window_classes,surface_families,required_labels,consumer_surfaces
status_bar_item,stable,Shell/status-bar owner,status_bar,compact_desktop|standard_desktop|expanded_desktop,primary_workspace_window|secondary_detached_window|floating_utility_window|companion_overlay_window,notebook|data_grid|profiler|pipeline|docs|preview|review|incident|companion|operator,identity|state|keyboard_route|source_provider|freshness,shell_frame|status_bar|attention_router|support_export|product_ui
status_overflow_menu,stable,Shell/status-bar owner,status_bar,compact_desktop|standard_desktop|expanded_desktop,primary_workspace_window|secondary_detached_window|floating_utility_window|companion_overlay_window,notebook|data_grid|profiler|pipeline|docs|preview|review|incident|companion|operator,identity|state|keyboard_route|freshness|reopen_path,shell_frame|status_bar|attention_router|support_export|product_ui
tooltip,stable,Shell/transient-inspect owner,transient_overlay,compact_desktop|standard_desktop|expanded_desktop,primary_workspace_window|secondary_detached_window|floating_utility_window|companion_overlay_window,notebook|data_grid|profiler|pipeline|docs|preview|review|incident|companion|operator,identity|state|keyboard_route,shell_frame|docs_help|support_export|product_ui
hovercard,stable,Shell/transient-inspect owner,transient_overlay,compact_desktop|standard_desktop|expanded_desktop,primary_workspace_window|secondary_detached_window|floating_utility_window|companion_overlay_window,notebook|data_grid|profiler|pipeline|docs|preview|review|incident|companion|operator,identity|state|keyboard_route|source_provider|freshness,shell_frame|docs_help|support_export|product_ui
peek_panel,stable,Shell/transient-inspect owner,transient_overlay,compact_desktop|standard_desktop|expanded_desktop,primary_workspace_window|secondary_detached_window|floating_utility_window|companion_overlay_window,notebook|data_grid|profiler|pipeline|docs|preview|review|incident|companion|operator,identity|state|keyboard_route|source_provider|freshness|reopen_path,shell_frame|layout|docs_help|support_export|product_ui
pinned_preview_promotion,stable,Shell/transient-inspect owner,right_inspector,compact_desktop|standard_desktop|expanded_desktop,primary_workspace_window|secondary_detached_window|floating_utility_window|companion_overlay_window,notebook|data_grid|profiler|pipeline|docs|preview|review|incident|companion|operator,identity|state|keyboard_route|source_provider|freshness|reopen_path,shell_frame|layout|windowing|support_export|product_ui
splitter_handle,stable,Shell/layout owner,main_workspace,compact_desktop|standard_desktop|expanded_desktop,primary_workspace_window|secondary_detached_window|floating_utility_window|companion_overlay_window,notebook|data_grid|profiler|pipeline|docs|preview|review|incident|companion|operator,identity|state|keyboard_route|reopen_path,shell_frame|layout|windowing|support_export|product_ui
pane_resize_preset,stable,Shell/layout owner,main_workspace,compact_desktop|standard_desktop|expanded_desktop,primary_workspace_window|secondary_detached_window|floating_utility_window|companion_overlay_window,notebook|data_grid|profiler|pipeline|docs|preview|review|incident|companion|operator,identity|state|keyboard_route|reopen_path,shell_frame|layout|windowing|support_export|product_ui
progress_indicator,stable,Shell/activity owner,status_bar,compact_desktop|standard_desktop|expanded_desktop,primary_workspace_window|secondary_detached_window|floating_utility_window|companion_overlay_window,notebook|data_grid|profiler|pipeline|docs|preview|review|incident|companion|operator,identity|state|keyboard_route|source_provider|reopen_path,shell_frame|status_bar|attention_router|notification_envelope|support_export|product_ui
durable_job_row,stable,Shell/activity owner,bottom_panel,compact_desktop|standard_desktop|expanded_desktop,primary_workspace_window|secondary_detached_window|floating_utility_window|companion_overlay_window,notebook|data_grid|profiler|pipeline|docs|preview|review|incident|companion|operator,identity|state|keyboard_route|source_provider|freshness|reopen_path,shell_frame|attention_router|notification_envelope|support_export|product_ui
