card_kind,target,support_window_state,end_of_support_state,compatibility_posture,readiness,pin_postpone,successor,gate
channel,stable,full_support,supported,,supported,stay_on_channel,,governed
channel,beta,full_support,supported,,supported,stay_on_channel,,governed
channel,preview,full_support,supported,,supported,stay_on_channel,,governed
channel,nightly,full_support,supported,,supported,stay_on_channel,,governed
channel,lts,full_support,supported,,supported,stay_on_channel,,governed
subject,workspace_profile_files,,supported,within_window,supported,stay_on_channel,,governed
subject,extension_sdk,,supported,within_window,supported,stay_on_channel,,governed
subject,extension_manifest,,supported,within_window,supported,stay_on_channel,,governed
subject,remote_helper,,supported,within_window,supported,stay_on_channel,,governed
subject,public_schema,,supported,within_window,supported,stay_on_channel,,governed
