family,artifact_class,change_kind,from_version,to_version,verification_state,restart_impact,release_data_state,gate
desktop_app,core_runtime,unchanged,1.8.0,1.8.0,verified,restart_app,live,governed
desktop_app,configuration,unchanged,1.8.0,1.8.0,verified,none,live,governed
extension,extension_packs,updated,3.2.1,3.4.0,verified,reload_window,mirrored,governed
docs_pack,docs_help_content,updated,2025.6,2025.7,verified,none,offline,governed
policy_bundle,configuration,updated,2.0.0,2.1.0,verified,none,live,governed
policy_bundle,schema_contracts,updated,12,13,verified,reload_window,live,governed
framework_pack,schema_contracts,updated,0.9.0,0.10.0,verified,restart_app,live,governed
framework_pack,extension_packs,added,,0.10.0,verified,restart_app,live,governed
framework_pack,workspace_state,updated,5,6,verified,none,live,governed
runtime_toolchain,language_runtimes,updated,1.84.0,1.85.0,verified,restart_app,live,governed
