channel,profile,claimed_qualification,effective_qualification,claim_gate,dimension,outcome,proof_freshness,lifecycle_gate,stale_data_behavior,backing_facets,proof_refs,gap_kind
stable,managed,stable,stable,governed,update_communication,certified,current,governed,stale_banner_shown,update_availability|change_impact|release_note_evidence,artifacts/release-proof/m5-update-lifecycle/update-availability.json|artifacts/release-proof/m5-update-lifecycle/change-impact.json|artifacts/release-proof/m5-update-lifecycle/release-note-evidence.json,
stable,managed,stable,stable,governed,migration_guidance,certified,current,governed,local_only_no_live_data,migration_assistant,artifacts/release-proof/m5-update-lifecycle/migration-assistant.json,
stable,managed,stable,stable,governed,lifecycle_windows,certified,current,governed,offline_cached,support_window|compatibility_window|end_of_support,artifacts/release-proof/m5-update-lifecycle/support-window.json|artifacts/release-proof/m5-update-lifecycle/compatibility-window.json|artifacts/release-proof/m5-update-lifecycle/end-of-support.json,
stable,managed,stable,stable,governed,stale_data_behavior,certified,current,governed,local_only_no_live_data,service_health,artifacts/release-proof/m5-update-lifecycle/service-health.json,
stable,self_hosted,stable,stable,governed,update_communication,certified,current,governed,stale_banner_shown,update_availability|change_impact|release_note_evidence,artifacts/release-proof/m5-update-lifecycle/update-availability.json|artifacts/release-proof/m5-update-lifecycle/change-impact.json|artifacts/release-proof/m5-update-lifecycle/release-note-evidence.json,
stable,self_hosted,stable,stable,governed,migration_guidance,certified,current,governed,local_only_no_live_data,migration_assistant,artifacts/release-proof/m5-update-lifecycle/migration-assistant.json,
stable,self_hosted,stable,stable,governed,lifecycle_windows,certified,current,governed,offline_cached,support_window|compatibility_window|end_of_support,artifacts/release-proof/m5-update-lifecycle/support-window.json|artifacts/release-proof/m5-update-lifecycle/compatibility-window.json|artifacts/release-proof/m5-update-lifecycle/end-of-support.json,
stable,self_hosted,stable,stable,governed,stale_data_behavior,certified,current,governed,local_only_no_live_data,service_health,artifacts/release-proof/m5-update-lifecycle/service-health.json,
beta,managed,beta,beta,governed,update_communication,certified,current,governed,stale_banner_shown,update_availability|change_impact|release_note_evidence,artifacts/release-proof/m5-update-lifecycle/update-availability.json|artifacts/release-proof/m5-update-lifecycle/change-impact.json|artifacts/release-proof/m5-update-lifecycle/release-note-evidence.json,
beta,managed,beta,beta,governed,migration_guidance,certified,current,governed,local_only_no_live_data,migration_assistant,artifacts/release-proof/m5-update-lifecycle/migration-assistant.json,
beta,managed,beta,beta,governed,lifecycle_windows,certified,current,governed,offline_cached,compatibility_window,artifacts/release-proof/m5-update-lifecycle/compatibility-window.json,
beta,managed,beta,beta,governed,stale_data_behavior,certified,current,governed,local_only_no_live_data,service_health,artifacts/release-proof/m5-update-lifecycle/service-health.json,
beta,self_hosted,beta,beta,governed,update_communication,certified,current,governed,stale_banner_shown,update_availability|change_impact|release_note_evidence,artifacts/release-proof/m5-update-lifecycle/update-availability.json|artifacts/release-proof/m5-update-lifecycle/change-impact.json|artifacts/release-proof/m5-update-lifecycle/release-note-evidence.json,
beta,self_hosted,beta,beta,governed,migration_guidance,certified,current,governed,local_only_no_live_data,migration_assistant,artifacts/release-proof/m5-update-lifecycle/migration-assistant.json,
beta,self_hosted,beta,beta,governed,lifecycle_windows,certified,current,governed,offline_cached,compatibility_window,artifacts/release-proof/m5-update-lifecycle/compatibility-window.json,
beta,self_hosted,beta,beta,governed,stale_data_behavior,certified,current,governed,local_only_no_live_data,service_health,artifacts/release-proof/m5-update-lifecycle/service-health.json,
preview,managed,preview,preview,governed,update_communication,certified,current,governed,stale_banner_shown,update_availability|change_impact|release_note_evidence,artifacts/release-proof/m5-update-lifecycle/update-availability.json|artifacts/release-proof/m5-update-lifecycle/change-impact.json|artifacts/release-proof/m5-update-lifecycle/release-note-evidence.json,
preview,managed,preview,preview,governed,migration_guidance,not_applicable,,,,,,
preview,managed,preview,preview,governed,lifecycle_windows,not_applicable,,,,,,
preview,managed,preview,preview,governed,stale_data_behavior,certified,current,governed,local_only_no_live_data,service_health,artifacts/release-proof/m5-update-lifecycle/service-health.json,
preview,self_hosted,preview,preview,governed,update_communication,certified,current,governed,stale_banner_shown,update_availability|change_impact|release_note_evidence,artifacts/release-proof/m5-update-lifecycle/update-availability.json|artifacts/release-proof/m5-update-lifecycle/change-impact.json|artifacts/release-proof/m5-update-lifecycle/release-note-evidence.json,
preview,self_hosted,preview,preview,governed,migration_guidance,not_applicable,,,,,,
preview,self_hosted,preview,preview,governed,lifecycle_windows,not_applicable,,,,,,
preview,self_hosted,preview,preview,governed,stale_data_behavior,certified,current,governed,local_only_no_live_data,service_health,artifacts/release-proof/m5-update-lifecycle/service-health.json,
nightly,managed,experimental,experimental,governed,update_communication,certified,current,governed,stale_banner_shown,update_availability|change_impact,artifacts/release-proof/m5-update-lifecycle/update-availability.json|artifacts/release-proof/m5-update-lifecycle/change-impact.json,
nightly,managed,experimental,experimental,governed,migration_guidance,not_applicable,,,,,,
nightly,managed,experimental,experimental,governed,lifecycle_windows,not_applicable,,,,,,
nightly,managed,experimental,experimental,governed,stale_data_behavior,certified,current,governed,local_only_no_live_data,service_health,artifacts/release-proof/m5-update-lifecycle/service-health.json,
