row_id,consumer_group,consumer_surface,component_family,authority,label_parity,handoff
consumer:framework-pack:design-canvas,framework_pack,framework_pack_preview_lane,design_canvas,full,preserved,none
consumer:framework-pack:breakpoint-preview-row,framework_pack,framework_pack_preview_lane,breakpoint_preview_row,compare_only,disclosed_narrowed,none
consumer:framework-pack:structure-tree-row,framework_pack,framework_pack_preview_lane,structure_tree_row,read_only,disclosed_narrowed,none
consumer:preview-runtime:property-inspector-row,preview_runtime,preview_runtime_inspector,property_inspector_row,inspect_only,disclosed_narrowed,none
consumer:preview-runtime:source-sync-chip,preview_runtime,preview_runtime_inspector,source_sync_chip,inspect_only,disclosed_narrowed,none
consumer:preview-runtime:breakpoint-preview-row,preview_runtime,preview_runtime_inspector,breakpoint_preview_row,compare_only,disclosed_narrowed,none
consumer:browser-runtime:structure-tree-row,browser_runtime_demo,browser_runtime_inspector,structure_tree_row,read_only,disclosed_narrowed,browser_readonly
consumer:browser-runtime:round-trip-conflict-banner,browser_runtime_demo,browser_runtime_inspector,round_trip_conflict_banner,read_only,disclosed_narrowed,none
consumer:demo-handoff:unsupported-construct-card,browser_runtime_demo,demo_handoff,unsupported_construct_card,export_only,disclosed_narrowed,handoff_packet
consumer:docs-onboarding:design-canvas,docs_onboarding,docs_onboarding_walkthrough,design_canvas,inspect_only,disclosed_narrowed,none
consumer:docs-onboarding:source-sync-chip,docs_onboarding,docs_onboarding_walkthrough,source_sync_chip,read_only,disclosed_narrowed,none
consumer:help-center:unsupported-construct-card,docs_onboarding,help_center,unsupported_construct_card,read_only,disclosed_narrowed,none
