row_id,claimed_surface,declared_claim,effective_claim,mapping_axis,round_trip_axis,freshness_axis,export_axis,status
cert:design-canvas-workspace,design_canvas_workspace,fully_interactive_writable,fully_interactive_writable,certified,certified,certified,certified,certified
cert:structure-tree-panel,structure_tree_panel,inspect_only,inspect_only,certified,certified,certified,certified,certified
cert:property-inspector-panel,property_inspector_panel,fully_interactive_writable,fully_interactive_writable,certified,certified,certified,certified,certified
cert:source-round-trip-rail,source_round_trip_rail,fully_interactive_writable,inspect_only,disclosed_narrowed,certified,certified,certified,narrowed_disclosed
cert:breakpoint-device-preview-deck,breakpoint_device_preview_deck,fully_interactive_writable,read_only,certified,disclosed_narrowed,disclosed_narrowed,certified,narrowed_disclosed
cert:framework-pack-preview,framework_pack_preview,fully_interactive_writable,inspect_only,certified,certified,disclosed_narrowed,certified,narrowed_disclosed
cert:browser-runtime-inspection,browser_runtime_inspection,inspect_only,inspect_only,certified,certified,certified,certified,certified
cert:docs-help-embeds,docs_help_embeds,read_only,read_only,certified,certified,certified,certified,certified
cert:support-export,support_export,source_only,source_only,certified,certified,certified,certified,certified
cert:release-proof,release_proof,read_only,read_only,certified,certified,certified,certified,certified
