family,consumer,representation,semantic_role_word,parity_state
color_system,shell_ui,desktop_full,status,facets_preserved
color_system,settings_ui,desktop_full,status,facets_preserved
color_system,support_export,exported_redacted,status,facets_disclosed_narrowed
semantic_theme_token,shell_ui,desktop_full,neutral,facets_preserved
semantic_theme_token,editor_ui,desktop_full,neutral,facets_preserved
syntax_token,editor_ui,desktop_full,syntax,facets_preserved
syntax_token,review_ui,compact_narrowed,syntax,facets_disclosed_narrowed
syntax_token,cli_export,exported_redacted,syntax,facets_disclosed_narrowed
diff_token,review_ui,desktop_full,diff,facets_preserved
diff_token,editor_ui,desktop_full,diff,facets_preserved
chart_token,data_ui,desktop_full,chart,facets_preserved
chart_token,docs_ui,desktop_full,chart,facets_preserved
typography,docs_ui,desktop_full,neutral,facets_preserved
typography,editor_ui,desktop_full,neutral,facets_preserved
typography,product_ui,desktop_full,neutral,facets_preserved
spacing_sizing_radii_elevation,shell_ui,desktop_full,neutral,facets_preserved
spacing_sizing_radii_elevation,data_ui,remote_projected,neutral,facets_disclosed_narrowed
hit_target,settings_ui,desktop_full,interactive,facets_preserved
hit_target,product_ui,desktop_full,interactive,facets_preserved
hit_target,support_export,exported_redacted,interactive,facets_disclosed_narrowed
