family,status,qualification,canonical_slot,fallback_slot,drag_verb_disclosure,close_orphan_guard,safe_reopen_fallback,window_classes,waiver
notebook,green,stable,main_workspace,main_workspace,verb_disclosed_with_keyboard_parity,close_guarded_no_orphan,reopens_safest_equivalent_layout,primary_workspace_window|secondary_detached_window,none
data_grid,green,stable,main_workspace,main_workspace,verb_disclosed_with_keyboard_parity,close_guarded_no_orphan,reopens_safest_equivalent_layout,primary_workspace_window|secondary_detached_window,none
profiler,green,stable,bottom_panel,transient_overlay,verb_disclosed_with_keyboard_parity,close_guarded_no_orphan,reopens_safest_equivalent_layout,primary_workspace_window|secondary_detached_window|floating_utility_window,none
pipeline,green,stable,main_workspace,bottom_panel,verb_disclosed_with_keyboard_parity,close_guarded_no_orphan,reopens_safest_equivalent_layout,primary_workspace_window|secondary_detached_window,none
docs,yellow,stable,main_workspace,transient_overlay,disclosed_verb_reach_narrowing,close_guarded_no_orphan,reopens_safest_equivalent_layout,primary_workspace_window|secondary_detached_window|floating_utility_window,none
preview,green,stable,right_inspector,transient_overlay,verb_disclosed_with_keyboard_parity,close_guarded_no_orphan,reopens_safest_equivalent_layout,primary_workspace_window|floating_utility_window|companion_overlay_window,none
review,green,stable,main_workspace,right_inspector,verb_disclosed_with_keyboard_parity,close_guarded_no_orphan,reopens_safest_equivalent_layout,primary_workspace_window|secondary_detached_window,none
incident,yellow,beta,main_workspace,right_inspector,verb_disclosed_with_keyboard_parity,close_guarded_no_orphan,disclosed_reduced_equivalent_fallback,primary_workspace_window|secondary_detached_window,none
companion,yellow,beta,right_inspector,transient_overlay,verb_disclosed_with_keyboard_parity,disclosed_deferred_guard_relocation,reopens_safest_equivalent_layout,primary_workspace_window|companion_overlay_window|floating_utility_window,waiver:companion-close-guard-relocation:0001
operator,yellow,beta,bottom_panel,transient_overlay,verb_disclosed_with_keyboard_parity,close_guarded_no_orphan,disclosed_reduced_equivalent_fallback,primary_workspace_window|secondary_detached_window|floating_utility_window,none
