family,consumer,representation,window_restore_role_word,parity_state
shared_workspace_authority,restore_coordinator,desktop_full,workspace_authority,facets_preserved
shared_workspace_authority,shell_ui,desktop_full,workspace_authority,facets_preserved
shared_workspace_authority,cli_export,exported_redacted,workspace_authority,facets_disclosed_narrowed
window_local_topology,workspace_service,desktop_full,window_topology,facets_preserved
window_local_topology,shell_ui,desktop_full,window_topology,facets_preserved
window_local_topology,support_export,exported_redacted,window_topology,facets_disclosed_narrowed
skeleton_first_restore,diagnostics,desktop_full,layout_skeleton,facets_preserved
skeleton_first_restore,restore_coordinator,desktop_full,layout_skeleton,facets_preserved
skeleton_first_restore,product_ui,remote_projected,layout_skeleton,facets_disclosed_narrowed
no_rerun_session_hydration,session_service,desktop_full,session_hydration,facets_preserved
no_rerun_session_hydration,diagnostics,desktop_full,session_hydration,facets_preserved
no_rerun_session_hydration,product_ui,remote_projected,session_hydration,facets_disclosed_narrowed
display_topology_recovery,docs_help,desktop_full,display_affinity,facets_preserved
display_topology_recovery,workspace_service,compact_narrowed,display_affinity,facets_disclosed_narrowed
display_topology_recovery,support_export,exported_redacted,display_affinity,facets_disclosed_narrowed
