control,id,kind_or_from,state_or_to,derived,external_or_writable
detail_header,header-checkout-rounding,issue,synced_with_provider,provider_writable|live_synced,true
detail_header,header-local-triage-note,task,local_only_draft,local_draft_only|local_only,false
detail_header,header-imported-change-request,change_request,synced_with_provider,read_only_mirror|stale_snapshot,false
detail_header,header-failover-incident,incident,synced_with_provider,policy_blocked_write|live_synced,false
detail_header,header-mirror-unknown-freshness,epic,synced_with_provider,read_only_mirror|unknown_freshness,false
status_transition_sheet,sheet-local-triage-state,Draft,Triaging,local_draft_only,false
status_transition_sheet,sheet-publish-comment,In Progress,In Review,publishes_to_provider,true
status_transition_sheet,sheet-open-in-provider-link,In Review,Linked,opens_in_provider,true
status_transition_sheet,sheet-blocked-assignment,Investigating,Assigned,blocked_needs_permission,false
status_transition_sheet,sheet-policy-blocked-field,Assigned,Escalated,policy_blocked_transition,false
