control,id,kind_or_scope,authority,state_or_posture,derived,writable
work_item_row,PROJ-1421,issue,provider_owned,synced_with_provider,provider_authoritative,true
work_item_row,LOCAL-0007,task,local_draft,local_only_draft,local_only_draft,false
work_item_row,INC-3390,incident,provider_owned,queued_for_publish,publish_pending,false
work_item_row,CHG-2048,change_request,mirrored_read_only,synced_with_provider,snapshot_only,false
work_item_row,PROJ-1500,issue,policy_pinned,synced_with_provider,blocked_capability,false
work_item_row,PROJ-1466,task,provider_owned,conflict_held,publish_pending,false
provider_chip_group,chip-read-only,acme-eng / platform board,mirrored_read_only,read_only,true,false
provider_chip_group,chip-comment-link,PLAT project,provider_owned,comment_link,true,true
provider_chip_group,chip-full-edit,Platform team space,provider_owned,full_edit,true,true
provider_chip_group,chip-offline-capture,Unsynced drafts space,local_draft,offline_capture,true,false
provider_chip_group,chip-policy-blocked,Security incidents queue,policy_pinned,policy_blocked,true,false
