object,consumer,representation,ai_review_role_word,parity_state
ai_review_finding_row,review_detail,desktop_full,finding_classification,facets_preserved
ai_review_finding_row,finding_row,desktop_full,finding_classification,facets_preserved
ai_review_finding_row,support_export_packet,exported_redacted,finding_classification,facets_disclosed_narrowed
review_scope_selector,review_scope_selector,desktop_full,analyzed_scope_disclosure,facets_preserved
review_scope_selector,ai_review_panel,desktop_full,analyzed_scope_disclosure,facets_preserved
review_scope_selector,pending_review_tray,remote_projected,analyzed_scope_disclosure,facets_disclosed_narrowed
publish_to_review_sheet,publish_to_review_sheet,desktop_full,publish_destination_disclosure,facets_preserved
publish_to_review_sheet,provider_publish_review,desktop_full,publish_destination_disclosure,facets_preserved
publish_to_review_sheet,support_export_packet,exported_redacted,publish_destination_disclosure,facets_disclosed_narrowed
resolution_memory_row,resolution_memory_ledger,desktop_full,resolution_memory_disclosure,facets_preserved
resolution_memory_row,review_detail,compact_narrowed,resolution_memory_disclosure,facets_disclosed_narrowed
resolution_memory_row,support_export_packet,exported_redacted,resolution_memory_disclosure,facets_disclosed_narrowed
