object,consumer,representation,review_pack_role_word,vocabulary_state
review_pack_record,review_detail,desktop_full,pack_version_and_digest_disclosure,facets_preserved
review_pack_record,review_pack_summary,desktop_full,pack_version_and_digest_disclosure,facets_preserved
review_pack_record,support_export_packet,exported_redacted,pack_version_and_digest_disclosure,facets_disclosed_narrowed
ownership_signal,ownership_overlay,desktop_full,owner_provenance_disclosure,facets_preserved
ownership_signal,review_detail,compact_narrowed,owner_provenance_disclosure,facets_disclosed_narrowed
ownership_signal,support_export_packet,exported_redacted,owner_provenance_disclosure,facets_disclosed_narrowed
required_evidence_check_row,merge_readiness,desktop_full,required_evidence_and_check_disclosure,facets_preserved
required_evidence_check_row,review_detail,desktop_full,required_evidence_and_check_disclosure,facets_preserved
required_evidence_check_row,support_export_packet,exported_redacted,required_evidence_and_check_disclosure,facets_disclosed_narrowed
local_ci_parity_strip,local_ci_parity_strip,desktop_full,local_versus_provider_parity_disclosure,facets_preserved
local_ci_parity_strip,merge_readiness,remote_projected,local_versus_provider_parity_disclosure,facets_disclosed_narrowed
local_ci_parity_strip,provider_handoff,desktop_full,local_versus_provider_parity_disclosure,facets_preserved
ai_policy_hook,ai_review_panel,desktop_full,evaluator_result_class_disclosure,facets_preserved
ai_policy_hook,review_detail,desktop_full,evaluator_result_class_disclosure,facets_preserved
ai_policy_hook,provider_handoff,remote_projected,evaluator_result_class_disclosure,facets_disclosed_narrowed
review_template_packet,review_pack_summary,desktop_full,template_attribution_disclosure,facets_preserved
review_template_packet,help_docs,compact_narrowed,template_attribution_disclosure,facets_disclosed_narrowed
review_template_packet,support_export_packet,exported_redacted,template_attribution_disclosure,facets_disclosed_narrowed
