object_class,consumer,state,content_bytes_present,removal_reason,parity_state,state_label
retirement_snapshot,release_center,preserved_available,true,none,archive_state_presented,Preserved / available (archived)
retirement_snapshot,shell,expired,true,retention_window_elapsed,removal_or_expiry_disclosed,Expired (retention window elapsed)
retirement_snapshot,cli_export,missing_live_target,true,source_live_target_removed,removal_or_expiry_disclosed,Missing live target (archive preserved)
support_export_evidence,support,preserved_available,true,none,archive_state_presented,Preserved / available (archived)
support_export_evidence,help_docs,removed,false,policy_mandated_deletion,removal_or_expiry_disclosed,Removed (content deleted; metadata retained)
support_export_evidence,companion_export,metadata_only,false,metadata_only_by_design,removal_or_expiry_disclosed,Metadata only (content unavailable)
archived_runbook_packet,runbook_archive,retention_window_ended,true,retention_window_elapsed,removal_or_expiry_disclosed,Retention window ended (eligible for cleanup)
archived_runbook_packet,review_incident,removed,false,storage_reclaimed,removal_or_expiry_disclosed,Removed (content deleted; metadata retained)
archived_runbook_packet,program_governance,preserved_available,true,none,archive_state_presented,Preserved / available (archived)
imported_offline_route_evidence,shell,expired,true,storage_reclaimed,removal_or_expiry_disclosed,Expired (retention window elapsed)
imported_offline_route_evidence,runbook_archive,metadata_only,false,metadata_only_by_design,removal_or_expiry_disclosed,Metadata only (content unavailable)
imported_offline_route_evidence,cli_export,missing_live_target,true,source_live_target_removed,removal_or_expiry_disclosed,Missing live target (archive preserved)
review_incident_snapshot,review_incident,preserved_available,true,none,archive_state_presented,Preserved / available (archived)
review_incident_snapshot,shell,retention_window_ended,true,retention_window_elapsed,removal_or_expiry_disclosed,Retention window ended (eligible for cleanup)
review_incident_snapshot,companion_export,removed,false,manual_cleanup_requested,removal_or_expiry_disclosed,Removed (content deleted; metadata retained)
