object_class,consumer,posture,banner_role_word,parity_state
retirement_snapshot,release_center,live_target_openable,snapshot_labeling,facets_preserved
retirement_snapshot,shell,live_target_openable,snapshot_labeling,facets_preserved
retirement_snapshot,cli_export,exported_redacted,snapshot_labeling,facets_disclosed_narrowed
support_export_evidence,support,exported_redacted,provenance_attribution,facets_disclosed_narrowed
support_export_evidence,help_docs,live_target_openable,provenance_attribution,facets_preserved
support_export_evidence,companion_export,exported_redacted,provenance_attribution,facets_disclosed_narrowed
archived_runbook_packet,runbook_archive,live_target_openable,live_target_handoff,facets_preserved
archived_runbook_packet,review_incident,metadata_only_exit,live_target_handoff,facets_disclosed_narrowed
archived_runbook_packet,program_governance,exported_redacted,live_target_handoff,facets_disclosed_narrowed
imported_offline_route_evidence,shell,imported_offline_only,imported_offline_disclosure,facets_disclosed_narrowed
imported_offline_route_evidence,runbook_archive,imported_offline_only,imported_offline_disclosure,facets_disclosed_narrowed
imported_offline_route_evidence,cli_export,exported_redacted,imported_offline_disclosure,facets_disclosed_narrowed
review_incident_snapshot,review_incident,live_target_openable,mutation_blocked_posture,facets_preserved
review_incident_snapshot,shell,metadata_only_exit,mutation_blocked_posture,facets_disclosed_narrowed
review_incident_snapshot,companion_export,exported_redacted,mutation_blocked_posture,facets_disclosed_narrowed
