object_class,co_applicable_class,consumer,drill,blocked_write_reason,chosen_fallback_path,write_disposition,parity_state,fixture_id
read_only,none,tab_chrome,symlink_alias_save_denied,read_only_path_not_directly_writable,duplicate_to_editable_copy,read_only_blocked,single_state_direct_write_denied,read-only-alias-path
read_only,generated,editor_banner,read_only_generated_overlay_denied,read_only_path_not_directly_writable,duplicate_to_editable_copy,read_only_blocked,mixed_state_both_facets_visible,read-only-alias-path
read_only,none,support_export_packet,symlink_alias_save_denied,read_only_path_not_directly_writable,duplicate_to_editable_copy,read_only_blocked,single_state_direct_write_denied,read-only-alias-path
generated,none,status_bar,generated_artifact_drift_denied,generated_artifact_regenerate_only,regenerate_with_preview,regenerate_only,single_state_direct_write_denied,generated-derived-artifact
generated,policy_locked,diff_review_header,generated_policy_locked_regen_denied,generated_artifact_regenerate_only,regenerate_with_preview,regenerate_only,mixed_state_both_facets_visible,generated-derived-artifact
generated,none,command_palette,generated_artifact_drift_denied,generated_artifact_regenerate_only,regenerate_with_preview,regenerate_only,single_state_direct_write_denied,generated-derived-artifact
policy_locked,managed,breadcrumb_trail,policy_locked_managed_mirror_denied,policy_lock_requires_approval,request_approval,approval_gated,mixed_state_both_facets_visible,policy-locked-managed-mirror
policy_locked,managed,write_review_sheet,policy_locked_managed_mirror_denied,policy_lock_requires_approval,request_approval,approval_gated,mixed_state_both_facets_visible,policy-locked-managed-mirror
projection,captured_snapshot,ai_automation_path,projection_export_denied,projection_requires_overlay_or_detach,create_overlay_patch,detach_required,mixed_state_both_facets_visible,projection-virtual-view
projection,captured_snapshot,tab_chrome,projection_export_denied,projection_requires_overlay_or_detach,create_overlay_patch,detach_required,mixed_state_both_facets_visible,projection-virtual-view
managed,none,write_review_sheet,managed_mirror_round_trip_denied,managed_source_requires_detach,detach_from_managed_source,detach_required,single_state_direct_write_denied,managed-external-source
managed,captured_snapshot,support_export_packet,managed_captured_snapshot_restore_denied,managed_source_requires_detach,detach_from_managed_source,detach_required,mixed_state_both_facets_visible,managed-external-source
managed,none,status_bar,managed_mirror_round_trip_denied,managed_source_requires_detach,detach_from_managed_source,detach_required,single_state_direct_write_denied,managed-external-source
captured_snapshot,none,editor_banner,captured_snapshot_in_workspace_denied,captured_snapshot_restore_only,duplicate_to_editable_copy,read_only_blocked,single_state_direct_write_denied,captured-workspace-snapshot
captured_snapshot,none,command_palette,captured_snapshot_in_workspace_denied,captured_snapshot_restore_only,duplicate_to_editable_copy,read_only_blocked,single_state_direct_write_denied,captured-workspace-snapshot
