object_class,channel,consumer,blocked_write_reason,chosen_fallback_path,resolved_decision,write_disposition,redaction_disposition,entry_id
read_only,support_bundle,support_export_packet,read_only_path_not_directly_writable,duplicate_to_editable_copy,duplicated_to_editable_copy,read_only_blocked,not_redacted,read-only-alias-path
read_only,review_export_packet,diff_review_header,read_only_path_not_directly_writable,duplicate_to_editable_copy,duplicated_to_editable_copy,read_only_blocked,redacted_keep_state_class_and_fallback,read-only-alias-path
read_only,local_history_restore_evidence,status_bar,read_only_path_not_directly_writable,duplicate_to_editable_copy,cancelled,read_only_blocked,not_redacted,read-only-alias-path
generated,support_bundle,support_export_packet,generated_artifact_regenerate_only,regenerate_with_preview,regenerated_with_preview,regenerate_only,not_redacted,generated-derived-artifact
generated,review_export_packet,write_review_sheet,generated_artifact_regenerate_only,regenerate_with_preview,regenerated_with_preview,regenerate_only,redacted_keep_state_class_and_fallback,generated-derived-artifact
generated,docs_help_example,editor_banner,generated_artifact_regenerate_only,regenerate_with_preview,regenerated_with_preview,regenerate_only,not_redacted,generated-derived-artifact
policy_locked,support_bundle,support_export_packet,policy_lock_requires_approval,request_approval,requested_approval,approval_gated,not_redacted,policy-locked-managed-mirror
policy_locked,review_export_packet,write_review_sheet,policy_lock_requires_approval,request_approval,requested_approval,approval_gated,not_redacted,policy-locked-managed-mirror
managed,support_bundle,support_export_packet,managed_source_requires_detach,detach_from_managed_source,detached_from_managed_source,detach_required,not_redacted,managed-external-source
managed,local_history_restore_evidence,ai_automation_path,managed_source_requires_detach,detach_from_managed_source,detached_from_managed_source,detach_required,redacted_keep_state_class_and_fallback,managed-external-source
managed,review_export_packet,diff_review_header,managed_source_requires_detach,detach_from_managed_source,detached_from_managed_source,detach_required,not_redacted,managed-external-source
projection,review_export_packet,write_review_sheet,projection_requires_overlay_or_detach,create_overlay_patch,created_overlay_patch,detach_required,not_redacted,projection-virtual-view
projection,docs_help_example,command_palette,projection_requires_overlay_or_detach,create_overlay_patch,created_overlay_patch,detach_required,not_redacted,projection-virtual-view
captured_snapshot,support_bundle,support_export_packet,captured_snapshot_restore_only,duplicate_to_editable_copy,duplicated_to_editable_copy,read_only_blocked,not_redacted,captured-workspace-snapshot
captured_snapshot,local_history_restore_evidence,tab_chrome,captured_snapshot_restore_only,duplicate_to_editable_copy,cancelled,read_only_blocked,not_redacted,captured-workspace-snapshot
captured_snapshot,docs_help_example,breadcrumb_trail,captured_snapshot_restore_only,duplicate_to_editable_copy,duplicated_to_editable_copy,read_only_blocked,not_redacted,captured-workspace-snapshot
