object_class,co_applicable_states,actor,blocked_write_reason,safe_next_step,posture,checkpoint_undo_class,parity_state
read_only,,direct_edit_save,read_only_path_not_directly_writable,duplicate_to_editable_copy,enforced_gate,new_copy_leaves_original_intact,content_preserved
read_only,,code_action,read_only_path_not_directly_writable,duplicate_to_editable_copy,fail_closed_on_actor_drift,new_copy_leaves_original_intact,content_disclosed_narrowed
read_only,,importer,read_only_path_not_directly_writable,duplicate_to_editable_copy,export_redacted,new_copy_leaves_original_intact,content_disclosed_narrowed
generated,policy_locked,ai_apply,generated_artifact_regenerate_only,regenerate_with_preview,enforced_gate,regenerate_preview_discardable,content_preserved
generated,policy_locked,automation_recipe,generated_artifact_regenerate_only,regenerate_with_preview,fail_closed_on_actor_drift,regenerate_preview_discardable,content_disclosed_narrowed
generated,policy_locked,repair,generated_artifact_regenerate_only,regenerate_with_preview,export_redacted,regenerate_preview_discardable,content_disclosed_narrowed
policy_locked,,direct_edit_save,policy_lock_requires_approval,request_approval,enforced_gate,approval_request_withdrawable,content_preserved
policy_locked,,repair,policy_lock_requires_approval,request_approval,fail_closed_on_actor_drift,approval_request_withdrawable,content_disclosed_narrowed
managed,captured_snapshot,ai_apply,managed_source_requires_detach,detach_from_managed_source,enforced_gate,detach_checkpoint_restorable,content_preserved
managed,captured_snapshot,importer,managed_source_requires_detach,detach_from_managed_source,enforced_gate,detach_checkpoint_restorable,content_preserved
managed,captured_snapshot,repair,managed_source_requires_detach,detach_from_managed_source,enforced_gate,detach_checkpoint_restorable,content_preserved
managed,captured_snapshot,direct_edit_save,managed_source_requires_detach,detach_from_managed_source,export_redacted,detach_checkpoint_restorable,content_disclosed_narrowed
projection,,code_action,projection_requires_overlay_or_detach,create_overlay_patch,enforced_gate,overlay_patch_revertible,content_preserved
projection,,automation_recipe,projection_requires_overlay_or_detach,create_overlay_patch,export_redacted,overlay_patch_revertible,content_disclosed_narrowed
captured_snapshot,,direct_edit_save,captured_snapshot_restore_only,duplicate_to_editable_copy,enforced_gate,new_copy_leaves_original_intact,content_preserved
captured_snapshot,,ai_apply,captured_snapshot_restore_only,duplicate_to_editable_copy,fail_closed_on_actor_drift,new_copy_leaves_original_intact,content_disclosed_narrowed
