object_class,co_applicable_states,consumer,posture,badge_role_word,parity_state
read_only,,editor_banner,full_badge_group,state_badge_classification,facets_preserved
read_only,,tab_chrome,compact_status_chip,state_badge_classification,facets_disclosed_narrowed
read_only,,support_export_packet,export_redacted,state_badge_classification,facets_disclosed_narrowed
generated,policy_locked,editor_banner,full_badge_group,blocked_write_reason,facets_preserved
generated,policy_locked,diff_review_header,full_badge_group,blocked_write_reason,facets_preserved
generated,policy_locked,status_bar,compact_status_chip,blocked_write_reason,facets_disclosed_narrowed
generated,policy_locked,command_palette,palette_availability_gated,blocked_write_reason,facets_disclosed_narrowed
policy_locked,,write_review_sheet,full_badge_group,canonical_source_relation,facets_preserved
policy_locked,,breadcrumb_trail,compact_status_chip,canonical_source_relation,facets_disclosed_narrowed
policy_locked,,support_export_packet,export_redacted,canonical_source_relation,facets_disclosed_narrowed
managed,captured_snapshot,write_review_sheet,full_badge_group,exact_write_target,facets_preserved
managed,captured_snapshot,ai_automation_path,palette_availability_gated,exact_write_target,facets_disclosed_narrowed
managed,captured_snapshot,status_bar,compact_status_chip,exact_write_target,facets_disclosed_narrowed
projection,,diff_review_header,full_badge_group,canonical_source_relation,facets_preserved
projection,,command_palette,palette_availability_gated,canonical_source_relation,facets_disclosed_narrowed
projection,,tab_chrome,compact_status_chip,canonical_source_relation,facets_disclosed_narrowed
captured_snapshot,,editor_banner,full_badge_group,state_badge_classification,facets_preserved
captured_snapshot,,ai_automation_path,palette_availability_gated,state_badge_classification,facets_disclosed_narrowed
captured_snapshot,,support_export_packet,export_redacted,state_badge_classification,facets_disclosed_narrowed
