object_class,consumer,drill,evidence_state,handoff_outcome,expected_blocker,content_available,fixture_id
retirement_snapshot,release_center,preserved_live_target_handoff,preserved_live_target_joinable,handoff_cleared,none_cleared,true,last-supported-retirement-snapshot
retirement_snapshot,shell,retired_line_reopen,retired_line_no_live_counterpart,blocked_needs_prerequisite,route_unavailable,true,last-supported-retirement-snapshot
retirement_snapshot,cli_export,missing_live_target,missing_live_target_metadata_only,blocked_target_unavailable,missing_target,true,last-supported-retirement-snapshot
support_export_evidence,support,preserved_live_target_handoff,preserved_live_target_joinable,handoff_cleared,none_cleared,true,support-export-evidence-bundle
support_export_evidence,help_docs,expired_snapshot_metadata_only_fallback,expired_snapshot_metadata_fallback,blocked_by_policy,expired_snapshot,false,support-export-evidence-bundle
support_export_evidence,companion_export,evidence_only_reopen_after_version_schema_drift,imported_offline_evidence_only,blocked_target_unavailable,imported_offline_evidence_only,true,support-export-evidence-bundle
archived_runbook_packet,runbook_archive,preserved_live_target_handoff,preserved_live_target_joinable,handoff_cleared,none_cleared,true,runbook-incident-archived-packet
archived_runbook_packet,review_incident,stale_imported_evidence,stale_imported_evidence,blocked_needs_prerequisite,trust_block,true,runbook-incident-archived-packet
archived_runbook_packet,program_governance,missing_live_target,missing_live_target_metadata_only,blocked_target_unavailable,missing_target,true,runbook-incident-archived-packet
imported_offline_route_evidence,shell,evidence_only_reopen_after_version_schema_drift,imported_offline_evidence_only,blocked_target_unavailable,imported_offline_evidence_only,true,imported-offline-route-packet
imported_offline_route_evidence,runbook_archive,stale_imported_evidence,stale_imported_evidence,blocked_needs_prerequisite,trust_block,true,imported-offline-route-packet
imported_offline_route_evidence,cli_export,expired_snapshot_metadata_only_fallback,expired_snapshot_metadata_fallback,blocked_by_policy,expired_snapshot,false,imported-offline-route-packet
review_incident_snapshot,review_incident,preserved_live_target_handoff,preserved_live_target_joinable,handoff_cleared,none_cleared,true,review-incident-archived-snapshot
review_incident_snapshot,shell,retired_line_reopen,retired_line_no_live_counterpart,blocked_needs_prerequisite,route_unavailable,true,review-incident-archived-snapshot
review_incident_snapshot,companion_export,evidence_only_reopen_after_version_schema_drift,imported_offline_evidence_only,blocked_target_unavailable,imported_offline_evidence_only,true,review-incident-archived-snapshot
