object_class,consumer,outcome,identity_match_state,freshness_drift_state,historical_role_word,parity_state
retirement_snapshot,release_center,live_target_paired,same_object_identity,in_sync_no_drift,snapshot_labeling,pair_preserved
retirement_snapshot,shell,approximate_pairing,approximate_identity,in_sync_no_drift,snapshot_labeling,pair_narrowed_disclosed
retirement_snapshot,cli_export,policy_blocked_pairing,identity_unverifiable,freshness_unverifiable,snapshot_labeling,pair_narrowed_disclosed
support_export_evidence,support,live_target_paired,same_object_identity,snapshot_behind_live,provenance_attribution,pair_preserved
support_export_evidence,help_docs,live_target_missing,identity_unverifiable,freshness_unverifiable,provenance_attribution,pair_narrowed_disclosed
support_export_evidence,companion_export,policy_blocked_pairing,identity_unverifiable,freshness_unverifiable,provenance_attribution,pair_narrowed_disclosed
archived_runbook_packet,runbook_archive,live_target_paired,same_object_identity,snapshot_diverged_from_live,live_target_handoff,pair_preserved
archived_runbook_packet,review_incident,live_target_missing,identity_unverifiable,freshness_unverifiable,live_target_handoff,pair_narrowed_disclosed
archived_runbook_packet,program_governance,approximate_pairing,approximate_identity,snapshot_diverged_from_live,live_target_handoff,pair_narrowed_disclosed
imported_offline_route_evidence,shell,live_target_missing,identity_unverifiable,freshness_unverifiable,imported_offline_disclosure,pair_narrowed_disclosed
imported_offline_route_evidence,runbook_archive,policy_blocked_pairing,identity_unverifiable,freshness_unverifiable,imported_offline_disclosure,pair_narrowed_disclosed
imported_offline_route_evidence,cli_export,approximate_pairing,approximate_identity,in_sync_no_drift,imported_offline_disclosure,pair_narrowed_disclosed
review_incident_snapshot,review_incident,live_target_paired,same_object_identity,snapshot_behind_live,mutation_blocked_posture,pair_preserved
review_incident_snapshot,shell,live_target_missing,identity_unverifiable,freshness_unverifiable,mutation_blocked_posture,pair_narrowed_disclosed
review_incident_snapshot,companion_export,policy_blocked_pairing,identity_unverifiable,freshness_unverifiable,mutation_blocked_posture,pair_narrowed_disclosed
