object_class,consumer,disposition,content_available,next_action,parity_state,disposition_label
retirement_snapshot,release_center,live_target_joinable,true,open_current_live_object_through_validated_handoff,live_target_lineage_joined,Imported / offline evidence (live target joinable)
retirement_snapshot,shell,imported_offline_only,true,inspect_lineage_metadata_only,non_live_boundary_disclosed,Imported / offline evidence only (no live counterpart)
retirement_snapshot,cli_export,metadata_only_exit,false,inspect_lineage_metadata_only,non_live_boundary_disclosed,Imported / offline evidence (metadata-only exit)
support_export_evidence,support,live_target_joinable,true,open_current_live_object_through_validated_handoff,live_target_lineage_joined,Imported / offline evidence (live target joinable)
support_export_evidence,help_docs,exported_redacted_lineage,true,inspect_lineage_metadata_only,non_live_boundary_disclosed,Imported / offline evidence (exported; redacted)
support_export_evidence,companion_export,imported_offline_only,true,inspect_lineage_metadata_only,non_live_boundary_disclosed,Imported / offline evidence only (no live counterpart)
archived_runbook_packet,runbook_archive,imported_offline_only,true,inspect_lineage_metadata_only,non_live_boundary_disclosed,Imported / offline evidence only (no live counterpart)
archived_runbook_packet,review_incident,metadata_only_exit,false,inspect_lineage_metadata_only,non_live_boundary_disclosed,Imported / offline evidence (metadata-only exit)
archived_runbook_packet,program_governance,live_target_joinable,true,open_current_live_object_through_validated_handoff,live_target_lineage_joined,Imported / offline evidence (live target joinable)
imported_offline_route_evidence,shell,imported_offline_only,true,inspect_lineage_metadata_only,non_live_boundary_disclosed,Imported / offline evidence only (no live counterpart)
imported_offline_route_evidence,runbook_archive,metadata_only_exit,false,inspect_lineage_metadata_only,non_live_boundary_disclosed,Imported / offline evidence (metadata-only exit)
imported_offline_route_evidence,cli_export,exported_redacted_lineage,true,inspect_lineage_metadata_only,non_live_boundary_disclosed,Imported / offline evidence (exported; redacted)
review_incident_snapshot,review_incident,live_target_joinable,true,open_current_live_object_through_validated_handoff,live_target_lineage_joined,Imported / offline evidence (live target joinable)
review_incident_snapshot,shell,exported_redacted_lineage,true,inspect_lineage_metadata_only,non_live_boundary_disclosed,Imported / offline evidence (exported; redacted)
review_incident_snapshot,companion_export,imported_offline_only,true,inspect_lineage_metadata_only,non_live_boundary_disclosed,Imported / offline evidence only (no live counterpart)
