object_class,consumer,outcome,route_class,trust_posture,requested_authority,direct_open_authority,parity_state
retirement_snapshot,release_center,handoff_cleared,in_process_workspace,trusted_current_session,read_only_inspect,read_only_inspect,handoff_cleared_completed
retirement_snapshot,shell,blocked_needs_prerequisite,in_process_workspace,trusted_current_session,read_only_inspect,read_only_inspect,handoff_blocked_disclosed
retirement_snapshot,cli_export,blocked_by_policy,in_process_workspace,trusted_current_session,read_only_inspect,read_only_inspect,handoff_blocked_disclosed
support_export_evidence,support,handoff_cleared,remote_managed_service,trusted_current_session,scoped_edit,scoped_edit,handoff_cleared_completed
support_export_evidence,help_docs,blocked_target_unavailable,remote_managed_service,trusted_current_session,scoped_edit,scoped_edit,handoff_blocked_disclosed
support_export_evidence,companion_export,blocked_by_policy,remote_managed_service,trusted_current_session,scoped_edit,scoped_edit,handoff_blocked_disclosed
archived_runbook_packet,runbook_archive,handoff_cleared,companion_browser_surface,trusted_current_session,elevated_admin,elevated_admin,handoff_cleared_completed
archived_runbook_packet,review_incident,blocked_target_unavailable,companion_browser_surface,trusted_current_session,elevated_admin,elevated_admin,handoff_blocked_disclosed
archived_runbook_packet,program_governance,blocked_needs_prerequisite,companion_browser_surface,trusted_current_session,elevated_admin,elevated_admin,handoff_blocked_disclosed
imported_offline_route_evidence,shell,blocked_target_unavailable,cli_reopen_path,trusted_current_session,read_only_inspect,read_only_inspect,handoff_blocked_disclosed
imported_offline_route_evidence,runbook_archive,blocked_by_policy,cli_reopen_path,trusted_current_session,read_only_inspect,read_only_inspect,handoff_blocked_disclosed
imported_offline_route_evidence,cli_export,blocked_needs_prerequisite,cli_reopen_path,trusted_current_session,read_only_inspect,read_only_inspect,handoff_blocked_disclosed
review_incident_snapshot,review_incident,handoff_cleared,in_process_workspace,trusted_current_session,scoped_edit,scoped_edit,handoff_cleared_completed
review_incident_snapshot,shell,blocked_target_unavailable,in_process_workspace,trusted_current_session,scoped_edit,scoped_edit,handoff_blocked_disclosed
review_incident_snapshot,companion_export,blocked_by_policy,in_process_workspace,trusted_current_session,scoped_edit,scoped_edit,handoff_blocked_disclosed
