object_class,co_applicable_states,fallback_action,originating_flow,posture,checkpoint_undo_class,parity_state
read_only,,duplicate_to_editable_copy,direct_save,full_review_sheet,new_copy_leaves_original_intact,content_preserved
read_only,,duplicate_to_editable_copy,code_action,precondition_notice_compact,new_copy_leaves_original_intact,content_disclosed_narrowed
read_only,,duplicate_to_editable_copy,importer,export_redacted,new_copy_leaves_original_intact,content_disclosed_narrowed
generated,policy_locked,regenerate_with_preview,ai_apply,full_review_sheet,regenerate_preview_discardable,content_preserved
generated,policy_locked,regenerate_with_preview,batch_edit,precondition_notice_compact,regenerate_preview_discardable,content_disclosed_narrowed
generated,policy_locked,regenerate_with_preview,repair,export_redacted,regenerate_preview_discardable,content_disclosed_narrowed
policy_locked,,request_approval,direct_save,full_review_sheet,approval_request_withdrawable,content_preserved
policy_locked,,request_approval,repair,precondition_notice_compact,approval_request_withdrawable,content_disclosed_narrowed
managed,captured_snapshot,detach_from_managed_source,ai_apply,full_review_sheet,detach_checkpoint_restorable,content_preserved
managed,captured_snapshot,detach_from_managed_source,importer,precondition_notice_compact,detach_checkpoint_restorable,content_disclosed_narrowed
managed,captured_snapshot,detach_from_managed_source,batch_edit,export_redacted,detach_checkpoint_restorable,content_disclosed_narrowed
projection,,create_overlay_patch,code_action,full_review_sheet,overlay_patch_revertible,content_preserved
projection,,create_overlay_patch,batch_edit,precondition_notice_compact,overlay_patch_revertible,content_disclosed_narrowed
captured_snapshot,,duplicate_to_editable_copy,direct_save,full_review_sheet,new_copy_leaves_original_intact,content_preserved
captured_snapshot,,duplicate_to_editable_copy,ai_apply,precondition_notice_compact,new_copy_leaves_original_intact,content_disclosed_narrowed
