report: entries=10, marketed=10, parity=10, blocking=0, clean=true
callback:auth_provider.system_browser: kind=auth_provider_callback, action=resume_pending_sign_in, scope=widens_to_managed_authority, origin=strict_origin_matched, outcome=admitted, gated=true
callback:case.denied: kind=review_handoff_link, action=inspect_review_item, scope=crosses_boundary_read_only, origin=first_party_signed_link, outcome=denied_by_policy, gated=true
callback:case.expired: kind=auth_provider_callback, action=resume_pending_sign_in, scope=widens_to_managed_authority, origin=strict_origin_matched, outcome=denied_expired, gated=true
callback:case.stale: kind=managed_resume_link, action=resume_managed_action, scope=widens_to_managed_authority, origin=deep_link_scheme_pinned, outcome=denied_stale, gated=true
callback:case.wrong_origin: kind=auth_provider_callback, action=resume_pending_sign_in, scope=widens_to_managed_authority, origin=origin_unverified, outcome=denied_wrong_origin, gated=true
callback:collaboration_join.presence: kind=collaboration_join_link, action=join_collaboration, scope=workspace_collaboration_join, origin=first_party_signed_link, outcome=admitted, gated=true
callback:managed_resume.companion: kind=managed_resume_link, action=resume_managed_action, scope=widens_to_managed_authority, origin=deep_link_scheme_pinned, outcome=admitted, gated=true
callback:protocol_deep_link.open_local: kind=protocol_deep_link, action=open_existing_local_context, scope=plain_local_open, origin=deep_link_scheme_pinned, outcome=admitted, gated=false
callback:remote_mutation.provider: kind=remote_mutation_link, action=open_remote_mutation, scope=widens_to_provider_mutation, origin=strict_origin_matched, outcome=admitted, gated=true
callback:review_handoff.web_return: kind=review_handoff_link, action=inspect_review_item, scope=crosses_boundary_read_only, origin=first_party_signed_link, outcome=admitted, gated=true
