report: intakes=10, marketed=10, parity=10, blocking=0, clean=true
intake:case.mixed_root: kind=workspace, verb=open, mode=workspace_with_roots, scope=widens_to_workspace_scope, avail=mixed_root, parity=true
intake:case.moved_target: kind=folder, verb=open, mode=folder, scope=plain_local_read, avail=moved_target, parity=true
intake:case.policy_blocked: kind=review_link, verb=open, mode=inspect_only, scope=crosses_boundary, avail=blocked_by_policy, parity=true
intake:case.wrong_association: kind=file, verb=open, mode=single_file, scope=plain_local_read, avail=wrong_association, parity=true
intake:file.system_open: kind=file, verb=open, mode=single_file, scope=plain_local_read, avail=exact_available, parity=true
intake:folder.system_open: kind=folder, verb=open, mode=folder, scope=plain_local_read, avail=exact_available, parity=true
intake:patch_bundle.file_association: kind=patch_bundle, verb=import, mode=extract_then_review, scope=widens_to_workspace_scope, avail=exact_available, parity=true
intake:provider_return.auth_callback: kind=provider_return, verb=resume, mode=resume_live_session, scope=crosses_boundary, avail=exact_available, parity=true
intake:review_link.protocol_handler: kind=review_link, verb=open, mode=inspect_only, scope=crosses_boundary, avail=exact_available, parity=true
intake:workspace.file_association: kind=workspace, verb=open, mode=workspace_with_roots, scope=widens_to_workspace_scope, avail=exact_available, parity=true
