# Shaping smoke corpus for the prototype text stack (ADR 0002).
#
# Format: <label><TAB><text> — one case per line.
# Labels match [a-z0-9_]+ and MUST be unique. Comments start with '#';
# blank lines are ignored. Case text MUST NOT contain tab or newline.
#
# Scope: file names, code comments, UI labels, mixed scripts, bidi,
# combining marks, ZWJ emoji, regional-indicator flags. Long paragraphs,
# vertical text, and cursive shaping beyond basic Arabic are out of
# scope for the prototype — see prototypes/text_stack/README.md for the
# recorded holes.
ascii_basic	hello world
ascii_code_sample	fn main() { println!("hi"); }
symbols_math	A & B + C = (D / E) * 2
latin_ligatures	fi fl affix office
latin_accented	Café naïve résumé
combining_marks	café currículum
cjk_han	漢字
cjk_hiragana	ひらがな
cjk_katakana	カタカナ
cjk_mixed	読み込み (loading)
korean_hangul	안녕하세요
arabic_plain	مرحبا بالعالم
hebrew_plain	שלום עולם
bidi_mixed_ar_en	Hello مرحبا world
emoji_single	😀
emoji_zwj_family	👨‍👩‍👧
emoji_flag	🇯🇵
file_name_mixed	src/漢/読み込み.rs
code_comment_mixed	// TODO: 한글 support
ui_label	Open Recent Files
ui_label_cjk	最近のファイルを開く
