row_id,consumer_group,consumer_surface,component_family,authority,label_parity,handoff
consumer:about-update:install-profile-card,about_update,about_page,install_profile_card,full,preserved,none
consumer:about-update:deployment-summary-card,about_update,about_page,deployment_summary_card,full,preserved,none
consumer:about-update:rollout-ring-row,about_update,update_center,rollout_ring_row,full,preserved,none
consumer:about-update:mode-change-review-sheet,about_update,update_center,mode_change_review_sheet,full,preserved,none
consumer:diagnostics-support:install-profile-card,diagnostics_support,diagnostics_pane,install_profile_card,read_only,disclosed_narrowed,none
consumer:diagnostics-support:control-plane-data-plane-strip,diagnostics_support,diagnostics_pane,control_plane_data_plane_status_strip,read_only,disclosed_narrowed,none
consumer:diagnostics-support:mirror-offline-artifact-row,diagnostics_support,support_bundle_flow,mirror_offline_artifact_row,export_only,disclosed_narrowed,handoff_packet
consumer:diagnostics-support:residual-dependency-row,diagnostics_support,support_bundle_flow,residual_dependency_row,read_only,disclosed_narrowed,none
consumer:admin-offboarding:deployment-summary-card,admin_offboarding,admin_fleet_dashboard,deployment_summary_card,full,preserved,none
consumer:admin-offboarding:rollout-ring-row,admin_offboarding,admin_fleet_dashboard,rollout_ring_row,inspect_only,disclosed_narrowed,companion_app
consumer:admin-offboarding:install-profile-card,admin_offboarding,admin_fleet_dashboard,install_profile_card,read_only,disclosed_narrowed,none
consumer:admin-offboarding:side-by-side-import-sheet,admin_offboarding,offboarding_uninstall_flow,side_by_side_import_sheet,full,preserved,none
consumer:browser-handoff:channel-association-review-row,browser_handoff,handler_review_prompt,channel_association_review_row,full,preserved,none
consumer:browser-handoff:mirror-offline-artifact-row,browser_handoff,browser_deep_link_handoff,mirror_offline_artifact_row,read_only,disclosed_narrowed,browser_readonly
consumer:docs-help-release:deployment-summary-card-docs,docs_help_release,help_center_docs,deployment_summary_card,read_only,disclosed_narrowed,none
consumer:docs-help-release:residual-dependency-row,docs_help_release,support_export_replay,residual_dependency_row,export_only,disclosed_narrowed,handoff_packet
consumer:docs-help-release:rollout-ring-row,docs_help_release,release_proof_surface,rollout_ring_row,export_only,disclosed_narrowed,handoff_packet
