component_id,family,truth_mode,deployment_mode,export_safe,assistive_ready,degraded
component:install-profile-card:0001,install_profile_card,live,managed,true,true,none
component:install-profile-card:0002,install_profile_card,cached_offline,portable,true,true,state_root_unavailable
component:side-by-side-import-sheet:0001,side_by_side_import_sheet,live,desktop,true,true,none
component:rollout-ring-row:0001,rollout_ring_row,live,managed,true,true,rollout_paused
component:deployment-summary-card:0001,deployment_summary_card,live,self_hosted,true,true,none
component:residual-dependency-row:0001,residual_dependency_row,live,self_hosted,true,true,residual_vendor_dependency
component:control-plane-data-plane-status-strip:0001,control_plane_data_plane_status_strip,live,managed,true,true,control_plane_impaired
component:mirror-offline-artifact-row:0001,mirror_offline_artifact_row,cached_offline,air_gapped,true,true,mirror_stale
component:mode-change-review-sheet:0001,mode_change_review_sheet,live,desktop,true,true,none
component:channel-association-review-row:0001,channel_association_review_row,live,desktop,true,true,none
