row_id,consumer_group,consumer_surface,component_family,authority,label_parity,handoff
consumer:task-test:run-attempt-header,task_test,task_run_pane,run_attempt_header,full,preserved,none
consumer:task-test:rerun-review,task_test,test_explorer,rerun_review,full,preserved,none
consumer:task-test:debug-hierarchy,task_test,task_run_pane,debug_hierarchy,full,preserved,none
consumer:request-database:run-attempt-header,request_database,request_run_pane,run_attempt_header,read_only,disclosed_narrowed,none
consumer:request-database:input-request-prompt,request_database,database_execution_pane,input_request_prompt,full,preserved,none
consumer:request-database:artifact-publish-row,request_database,request_run_pane,artifact_publish_row,full,preserved,none
consumer:notebook-preview:run-attempt-header,notebook_preview,notebook_execution_cell,run_attempt_header,full,preserved,none
consumer:notebook-preview:input-request-prompt,notebook_preview,notebook_execution_cell,input_request_prompt,full,preserved,none
consumer:notebook-preview:artifact-publish-row,notebook_preview,preview_runtime_lane,artifact_publish_row,read_only,disclosed_narrowed,none
consumer:ai-publish:rerun-review,ai_publish,ai_mediated_run,rerun_review,inspect_only,disclosed_narrowed,companion_app
consumer:ai-publish:artifact-publish-row,ai_publish,publish_deploy_flow,artifact_publish_row,full,preserved,none
consumer:ai-publish:debug-hierarchy,ai_publish,ai_mediated_run,debug_hierarchy,inspect_only,disclosed_narrowed,none
consumer:support-export:run-attempt-header,support_export,support_export_replay,run_attempt_header,export_only,disclosed_narrowed,handoff_packet
consumer:support-export:rerun-review,support_export,history_activity_center,rerun_review,read_only,disclosed_narrowed,none
consumer:support-export:debug-hierarchy-docs,support_export,help_center_docs,debug_hierarchy,read_only,disclosed_narrowed,none
