component_id,family,truth_mode,locality,export_safe,assistive_ready,degraded
component:run-attempt-header:0001,run_attempt_header,live,local,true,true,none
component:run-attempt-header:0002,run_attempt_header,captured,remote,true,true,captured_evidence_only
component:input-request-prompt:0001,input_request_prompt,live,local,true,true,none
component:artifact-publish-row:0001,artifact_publish_row,captured,container,true,true,none
component:artifact-publish-row:0002,artifact_publish_row,captured,local,true,true,artifact_retention_expired
component:rerun-comparison-sheet:0001,rerun_comparison_sheet,planned,local,true,true,none
component:rerun-comparison-sheet:0002,rerun_comparison_sheet,planned,remote,true,true,rerun_context_drift
component:debug-session-header:0001,debug_session_header,live,local,true,true,none
component:debug-session-header:0002,debug_session_header,captured,managed,true,true,captured_evidence_only
component:thread-process-tree:0001,thread_process_tree,live,container,true,true,none
component:dump-crash-artifact-card:0001,dump_crash_artifact_card,captured,remote,true,true,none
component:dump-crash-artifact-card:0002,dump_crash_artifact_card,captured,container,true,true,symbols_unavailable
