surface_family,owner,input_kinds,artifact_kinds,freshness_classes,example_count
task_run_pane,Task-run guild,plain_text,trace|report,live|buffered,1
test_run_pane,Test-run guild,,report|trace,buffered|sampled,1
request_run_pane,Request-execution guild,approval,,,1
notebook_execution,Notebook-execution guild,file_path_selection,preview_endpoint,buffered,1
ai_mediated_execution,AI-execution guild,choice,diagnostic_log,buffered,1
publish_flow,Publish guild,,bundle,buffered,1
preview_flow,Preview guild,,preview_endpoint,buffered,1
history_activity_center,History / activity-center guild,,report,buffered,1
support_export_replay,Support / diagnostics guild,,imported_provider_artifact,imported,1
companion_summary,Companion-surface guild,device_browser_handoff,imported_provider_artifact,provider_supplied,1
