row_id,component_family,target_id,keyboard_reach,screen_reader_reach,cli_reach,claim_affordance,granted_claim,export_summary,status
a11y:manifest-editor-header,manifest_editor_header,target:cluster/prod-us-east/deploy.yaml,reachable_and_labeled,reachable_and_labeled,reachable_and_labeled,auto_narrowed_disclosed,review_required,reconstructable_without_screenshot,narrowed_disclosed
a11y:schema-validator-row,schema_validator_row,target:cluster/prod-us-east/deploy.yaml,reachable_and_labeled,reachable_and_labeled,reachable_and_labeled,matches_truth,read_only,reconstructable_without_screenshot,parity
a11y:target-context-chip-group,target_context_chip_group,target:cluster/prod-us-east,reachable_and_labeled,reachable_and_labeled,reachable_and_labeled,matches_truth,inspect_only,reconstructable_without_screenshot,parity
a11y:resource-link-row,resource_link_row,target:cluster/prod-us-east/svc/api-gateway,reachable_and_labeled,reachable_and_labeled,reachable_and_labeled,auto_narrowed_disclosed,read_only,reconstructable_without_screenshot,narrowed_disclosed
a11y:resource-explorer-row,resource_explorer_row,target:cluster/staging/svc/worker,reachable_and_labeled,reachable_and_labeled,reachable_and_labeled,matches_truth,fully_executable,reconstructable_without_screenshot,parity
a11y:adapter-source-badge,adapter_source_badge,target:build///app:server,reachable_and_labeled,reachable_and_labeled,reachable_and_labeled,matches_truth,inspect_only,reconstructable_without_screenshot,parity
a11y:target-graph-row,target_graph_row,target:build///app:server_test,reachable_and_labeled,disclosed_reduced_but_reachable,reachable_and_labeled,auto_narrowed_disclosed,review_required,reconstructable_without_screenshot,narrowed_disclosed
a11y:capability-matrix,capability_matrix,target:build///app:server,reachable_and_labeled,reachable_and_labeled,reachable_and_labeled,auto_narrowed_disclosed,inspect_only,reconstructable_without_screenshot,narrowed_disclosed
a11y:raw-event-drawer,raw_event_drawer,target:build///app:server,reachable_and_labeled,reachable_and_labeled,reachable_and_labeled,matches_truth,read_only,reconstructable_without_screenshot,parity
a11y:fallback-confidence-drawer,fallback_confidence_drawer,target:build///app:server,reachable_and_labeled,reachable_and_labeled,reachable_and_labeled,matches_truth,read_only,reconstructable_without_screenshot,parity
