surface_family,owner,outcomes,truth_modes,export_fields,example_count
task_run_pane,Task-run guild,running|preparing,live,run_id|attempt_id|attempt_ordinal|initiator|target_boundary|outcome|truth_class|context_summary|age,2
test_run_pane,Test-run guild,running|passed|failed,live,run_id|attempt_id|attempt_ordinal|initiator|target_boundary|outcome|truth_class|context_summary|age,1
request_run_pane,Request-execution guild,waiting_input|passed,live,run_id|attempt_id|attempt_ordinal|initiator|target_boundary|outcome|truth_class|context_summary|age,1
notebook_execution,Notebook-execution guild,partially_complete|running,live,run_id|attempt_id|attempt_ordinal|initiator|target_boundary|outcome|truth_class|context_summary|age,1
ai_mediated_execution,AI-execution guild,queued|running,planned|live,run_id|attempt_id|attempt_ordinal|initiator|target_boundary|outcome|truth_class|context_summary|age,1
publish_flow,Publish guild,passed|failed,captured,run_id|attempt_id|attempt_ordinal|initiator|target_boundary|outcome|truth_class|context_summary|age,1
preview_flow,Preview guild,passed|failed,captured,run_id|attempt_id|attempt_ordinal|initiator|target_boundary|outcome|truth_class|context_summary|age,1
history_activity_center,History / activity-center guild,stale_output|passed|failed,captured,run_id|attempt_id|attempt_ordinal|initiator|target_boundary|outcome|truth_class|context_summary|age,1
support_export_replay,Support / diagnostics guild,failed|passed,imported,run_id|attempt_id|attempt_ordinal|initiator|target_boundary|outcome|truth_class|context_summary|age,1
companion_summary,Companion-surface guild,cancelled|passed,captured,run_id|attempt_id|attempt_ordinal|initiator|target_boundary|outcome|truth_class|context_summary|age,1
