component_id,family,truth_mode,bundle_class,export_safe,assistive_ready,degraded
component:start-center-bundle-card:0001,start_center_bundle_card,live,launch_bundle,true,true,none
component:start-center-bundle-card:0002,start_center_bundle_card,mirrored,imported_handoff_bundle,true,true,mirror_stale
component:certified-archetype-badge-group:0001,certified_archetype_badge_group,live,framework_pack,true,true,none
component:bundle-detail-page:0001,bundle_detail_page,live,org_managed_bundle,true,true,none
component:bundle-install-update-review-sheet:0001,bundle_install_update_review_sheet,live,launch_bundle,true,true,none
component:bundle-drift-banner:0001,bundle_drift_banner,live,launch_bundle,true,true,local_override_drift
component:bundle-local-override-row:0001,bundle_local_override_row,live,launch_bundle,true,true,none
component:bundle-rollback-remove-card:0001,bundle_rollback_remove_card,live,template_bundle,true,true,none
component:bundle-class-disclosure-card:0001,bundle_class_disclosure_card,live,template_bundle,true,true,none
component:bundle-claim-narrowing-row:0001,bundle_claim_narrowing_row,imported,imported_handoff_bundle,true,true,stale_certification
